Date,week,Forward/Back,Position Specific,Name,dist_total,msr_total,hsr_total,percentVmax
2017-07-03,Wk 01,Backs,Scrum Half,04fa3,1934.12634,300.56,253.85000000000002,0.9035649745358962
2017-07-04,Wk 01,Backs,Scrum Half,04fa3,2966.25952,1239.45999,192.70001,0.821422704123542
2017-07-06,Wk 01,Backs,Scrum Half,04fa3,1431.26111,375.01,228.56,0.8444225398390012
2017-07-10,Wk 02,Backs,Scrum Half,04fa3,4383.60498,921.42001,490.77,0.9353266524286731
2017-07-13,Wk 02,Backs,Scrum Half,04fa3,4714.90512,1623.87,230.78,0.9309457313400142
2017-07-14,Wk 02,Backs,Scrum Half,04fa3,3548.44214,1582.71002,101.35,0.7929467170472593
2017-07-17,Wk 03,Backs,Scrum Half,04fa3,6513.73669,1954.07,187.21,0.9156125075297081
2017-07-18,Wk 03,Backs,Scrum Half,04fa3,4771.88002,952.9199900000001,323.56,0.8126608619462242
2017-07-20,Wk 03,Backs,Scrum Half,04fa3,7491.69308,2405.72,292.16,0.9024697442637315
2017-07-21,Wk 03,Backs,Scrum Half,04fa3,3618.50252,116.31,0,0.6418049394885276
2017-07-24,Wk 04,Backs,Scrum Half,04fa3,6991.400439999999,2276.35,355.15,0.8630414544658015
2017-07-25,Wk 04,Backs,Scrum Half,04fa3,7082.23819,1479.0800100000001,313.97,0.907945895624555
2017-07-27,Wk 04,Backs,Scrum Half,04fa3,8082.36158,2306.33002,401.25,0.9353266524286731
2017-07-28,Wk 04,Backs,Scrum Half,04fa3,4606.231309999999,869.68,62.28,0.8181370133070478
2017-07-31,Wk 05,Backs,Scrum Half,04fa3,5243.18174,1469.6899899999999,83.61999999999999,0.7830896445977767
2017-08-01,Wk 05,Backs,Scrum Half,04fa3,4916.47459,634.88,8.3,0.7316138218060347
2017-08-07,Wk 06,Backs,Scrum Half,04fa3,5751.81443,1468.5400000000002,210.60000000000002,0.9145172772575434
2017-08-08,Wk 06,Backs,Scrum Half,04fa3,4275.075290000001,728.25,0,0.6659000054761514
2017-08-12,Wk 06,Backs,Scrum Half,04fa3,3878.96113,1121.23999,512.38001,0.8236131646678714
2017-08-14,Wk 07,Backs,Scrum Half,04fa3,4713.89099,1524.5600100000001,122.53999999999999,0.88823175072559
2017-08-15,Wk 07,Backs,Scrum Half,04fa3,5365.39887,1363.53,176.34,0.9199934286183671
2017-08-18,Wk 07,Backs,Scrum Half,04fa3,3089.26392,832.73001,98.35000000000001,0.8586605333771425
2017-08-21,Wk 08,Backs,Scrum Half,04fa3,4449.87091,1039.78,58.67,0.7359947428946936
2017-08-22,Wk 08,Backs,Scrum Half,04fa3,4030.15153,882.3699999999999,179.32,0.9484694156946498
2017-08-24,Wk 08,Backs,Scrum Half,04fa3,3147.79639,1003.07,362.16999,0.865231915010131
2017-08-28,Wk 09,Backs,Scrum Half,04fa3,2732.9385,1052.9,176.1,0.9681835605936149
2017-08-29,Wk 09,Backs,Scrum Half,04fa3,4663.96724,1069.51,97.97999999999999,0.8630414544658015
2017-08-31,Wk 09,Backs,Scrum Half,04fa3,2623.69707,796.38,16.54,0.7151853677235639
2017-09-01,Wk 09,Backs,Scrum Half,04fa3,5555.62243,1817.42999,149.88000000000002,0.9178029680740377
2017-09-05,Wk 10,Backs,Scrum Half,04fa3,4106.29964,1214.1,230.51000000000002,0.8915174415420843
2017-09-06,Wk 10,Backs,Scrum Half,04fa3,4859.67568,992.3100000000001,0,0.6713761568369749
2017-09-08,Wk 10,Backs,Scrum Half,04fa3,4557.70515,1116.6,93.75,0.8247083949400362
2017-09-10,Wk 10,Backs,Scrum Half,04fa3,5783.70861,1511.79997,177.39000000000001,0.9057554350802256
2017-09-14,Wk 11,Backs,Scrum Half,04fa3,2675.51234,695.66,17.12,0.7655659602431412
2017-09-15,Wk 11,Backs,Scrum Half,04fa3,5620.83082,1629.46997,135.63,0.8948031323585784
2017-09-25,Wk 13,Backs,Scrum Half,04fa3,1554.37939,238.36,17.12,0.7359947428946936
2017-09-27,Wk 13,Backs,Scrum Half,04fa3,4883.68742,1332.5899800000002,59.54,0.8904222112699196
2017-09-28,Wk 13,Backs,Scrum Half,04fa3,3141.27356,511.86,0,0.6538524724823395
2017-09-29,Wk 13,Backs,Scrum Half,04fa3,5002.61828,1422.62,58.64,0.8707080663709545
2017-10-02,Wk 14,Backs,Scrum Half,04fa3,5893.98708,1522.8700000000001,304.51,0.9550407973276382
2017-10-03,Wk 14,Backs,Scrum Half,04fa3,5128.94212,1409.1000000000001,36.26,0.7403756639833525
2017-10-05,Wk 14,Backs,Scrum Half,04fa3,4332.61609,985.97999,46.33,0.7863753354142708
2017-10-07,Wk 14,Backs,Scrum Half,04fa3,6667.53894,1761.9700200000002,239.54000000000002,0.9692787908657795
2017-10-09,Wk 15,Backs,Scrum Half,04fa3,5172.3209099999995,1277.77999,136.26,0.9616121789606265
